nberCC,nberOneNodeCC,highestNberNodesInCC,highestNberEdgesInCCs,nberEdgesInducedGraph,density
2,0,6,13,15,2.16666666667
2,0,6,13,15,2.16666666667
3,1,4,8,11,2.0
2,0,6,13,15,2.16666666667
3,1,6,13,14,2.16666666667
3,1,6,13,14,2.16666666667
3,1,6,13,14,2.16666666667
2,0,6,13,15,2.16666666667
2,0,5,9,12,1.8
2,0,6,13,15,2.16666666667
2,0,5,9,12,1.8
3,1,4,8,11,2.0
2,0,6,13,15,2.16666666667
2,0,5,8,11,1.6
3,1,4,8,11,2.0
3,1,6,13,14,2.16666666667
2,0,5,11,14,2.2
2,0,5,11,14,2.2
3,1,4,8,11,2.0
2,0,5,9,12,1.8
3,1,6,13,14,2.16666666667
3,1,6,13,14,2.16666666667
2,0,6,13,15,2.16666666667
2,0,5,9,12,1.8
3,1,6,13,14,2.16666666667
3,1,4,8,11,2.0
3,1,6,13,14,2.16666666667
2,0,6,13,15,2.16666666667
2,0,5,9,12,1.8
3,1,6,13,14,2.16666666667
2,0,5,11,14,2.2
2,0,5,9,12,1.8
2,0,6,13,15,2.16666666667
2,0,6,13,15,2.16666666667
2,0,6,13,15,2.16666666667
2,0,5,9,12,1.8
2,0,5,7,10,1.4
2,0,5,9,12,1.8
3,1,6,13,14,2.16666666667
2,0,5,8,11,1.6
2,0,6,13,15,2.16666666667
3,1,6,13,14,2.16666666667
3,1,4,8,11,2.0
3,1,6,13,14,2.16666666667
2,0,5,11,14,2.2
2,0,5,8,11,1.6
2,0,5,7,10,1.4
2,0,5,9,12,1.8
3,1,6,13,14,2.16666666667
2,0,5,9,12,1.8
2,0,5,7,10,1.4
2,0,5,9,12,1.8
2,0,5,9,12,1.8
2,0,5,7,10,1.4
2,0,5,11,14,2.2
2,0,5,9,12,1.8
2,0,5,9,12,1.8
2,0,5,7,10,1.4
2,0,6,13,15,2.16666666667
2,0,5,9,12,1.8
2,0,5,8,11,1.6
2,0,5,8,11,1.6
2,0,5,9,12,1.8
3,1,6,13,14,2.16666666667
2,0,6,13,15,2.16666666667
3,1,6,13,14,2.16666666667
2,0,5,9,12,1.8
2,0,5,9,12,1.8
3,1,4,8,11,2.0
3,1,6,13,14,2.16666666667
3,1,6,13,14,2.16666666667
3,1,6,13,14,2.16666666667
2,0,5,9,12,1.8
2,0,5,7,10,1.4
2,0,5,9,12,1.8
2,0,5,9,12,1.8
2,0,5,9,12,1.8
2,0,5,7,10,1.4
2,0,5,9,12,1.8
2,0,5,7,10,1.4
2,0,6,13,15,2.16666666667
2,0,5,9,12,1.8
2,0,5,9,12,1.8
3,1,6,13,14,2.16666666667
2,0,5,11,14,2.2
2,0,5,9,12,1.8
2,0,5,11,14,2.2
2,0,6,13,15,2.16666666667
2,0,6,13,15,2.16666666667
2,0,5,9,12,1.8
3,1,4,8,11,2.0
2,0,5,7,10,1.4
2,0,5,8,11,1.6
2,0,6,13,15,2.16666666667
3,1,6,13,14,2.16666666667
2,0,5,8,11,1.6
2,0,5,8,11,1.6
2,0,5,11,14,2.2
3,1,4,8,11,2.0
2,0,5,9,12,1.8
2,0,5,9,12,1.8
3,1,6,13,14,2.16666666667
3,1,6,13,14,2.16666666667
2,0,5,11,14,2.2
2,0,6,13,15,2.16666666667
3,1,4,8,11,2.0
2,0,5,11,14,2.2
3,1,6,13,14,2.16666666667
2,0,5,8,11,1.6
2,0,5,9,12,1.8
2,0,5,11,14,2.2
2,0,5,9,12,1.8
2,0,6,13,15,2.16666666667
2,0,5,8,11,1.6
3,1,6,13,14,2.16666666667
2,0,6,13,15,2.16666666667
2,0,5,7,10,1.4
2,0,6,13,15,2.16666666667
3,1,6,13,14,2.16666666667
3,1,6,13,14,2.16666666667
2,0,5,11,14,2.2
3,1,6,13,14,2.16666666667
2,0,5,11,14,2.2
3,1,6,13,14,2.16666666667
3,1,6,13,14,2.16666666667
3,1,4,8,11,2.0
2,0,5,7,10,1.4
2,0,6,13,15,2.16666666667
2,0,6,13,15,2.16666666667
3,1,4,8,11,2.0
2,0,6,13,15,2.16666666667
2,0,5,11,14,2.2
3,1,6,13,14,2.16666666667
2,0,5,9,12,1.8
2,0,5,9,12,1.8
2,0,5,11,14,2.2
2,0,5,9,12,1.8
3,1,6,13,14,2.16666666667
2,0,6,13,15,2.16666666667
3,1,4,8,11,2.0
2,0,5,9,12,1.8
3,1,4,8,11,2.0
3,1,4,8,11,2.0
2,0,5,9,12,1.8
2,0,5,11,14,2.2
3,1,6,13,14,2.16666666667
2,0,5,7,10,1.4
3,1,6,13,14,2.16666666667
