,nberCC,nberOneNodeCC,highestNberNodesInCC,highestNberEdgesInCCs,nberEdgesInducedGraph,density,3,2,7,13,13
,1,0,3,2,4,1,,,,,
,1,0,3,3,4,1,,,,,
,1,0,3,3,5,1,,,,,
,1,0,3,3,5,1,,,,,
,1,0,4,3,5,1,,,,,
,1,0,4,4,5,1,,,,,
,1,0,4,4,5,1,,,,,
,1,0,4,4,5,1,,,,,
,1,0,4,4,6,1,,,,,
,1,0,4,4,6,1,,,,,
,1,0,4,4,6,1,,,,,
,1,0,4,4,6,1,,,,,
,1,0,5,4,6,1,,,,,
,1,0,5,4,6,1,,,,,
,1,0,5,4,6,1,,,,,
,1,0,5,5,6,1.125,,,,,
,1,0,5,5,6,1.125,,,,,
,1,0,5,5,6,1.125,,,,,
,1,0,5,5,6,1.125,,,,,
,1,0,5,5,6,1.125,,,,,
,1,0,5,5,6,1.125,,,,,
,1,0,5,5,7,1.125,,,,,
,1,0,5,6,7,1.125,,,,,
,1,0,5,6,7,1.125,,,,,
,1,0,5,6,7,1.125,,,,,
,1,0,5,6,7,1.125,,,,,
,1,0,6,6,7,1.142857143,,,,,
,1,0,6,6,7,1.142857143,,,,,
,1,0,6,6,7,1.142857143,,,,,
,1,0,6,6,7,1.142857143,,,,,
,1,0,6,6,7,1.142857143,,,,,
,1,0,6,6,7,1.142857143,,,,,
,1,0,6,7,7,1.142857143,,,,,
,1,0,6,7,7,1.142857143,,,,,
,1,0,6,7,7,1.142857143,,,,,
,1,0,6,7,7,1.142857143,,,,,
,1,0,6,7,7,1.142857143,,,,,
,1,0,6,7,7,1.142857143,,,,,
,1,0,6,7,7,1.142857143,,,,,
,1,0,6,7,7,1.166666667,,,,,
,1,0,6,7,7,1.166666667,,,,,
,1,0,6,7,7,1.166666667,,,,,
,1,0,6,7,7,1.166666667,,,,,
,1,0,6,7,8,1.166666667,,,,,
,1,0,6,7,8,1.166666667,,,,,
,1,0,6,7,8,1.166666667,,,,,
,1,0,7,7,8,1.166666667,,,,,
,1,0,7,7,8,1.166666667,,,,,
,1,0,7,7,8,1.166666667,,,,,
,1,0,7,7,8,1.166666667,,,,,
,1,0,7,7,8,1.2,,,,,
,1,0,7,7,8,1.2,,,,,
,2,0,7,7,8,1.2,,,,,
,2,0,7,7,8,1.2,,,,,
,2,0,7,7,8,1.25,,,,,
,2,0,7,8,8,1.25,,,,,
,2,0,7,8,8,1.25,,,,,
,2,0,7,8,8,1.25,,,,,
,2,0,7,8,8,1.25,,,,,
,2,0,7,8,8,1.25,,,,,
,2,0,7,8,8,1.25,,,,,
,2,0,7,8,8,1.25,,,,,
,2,0,7,8,8,1.25,,,,,
,2,0,7,8,8,1.25,,,,,
,2,0,7,8,8,1.285714286,,,,,
,2,0,7,8,8,1.285714286,,,,,
,2,0,7,8,8,1.285714286,,,,,
,2,0,7,8,8,1.285714286,,,,,
,2,0,7,8,8,1.285714286,,,,,
,2,0,7,8,8,1.285714286,,,,,
,2,0,7,8,8,1.285714286,,,,,
,2,1,7,8,8,1.285714286,,,,,
,2,1,7,8,8,1.285714286,,,,,
,2,1,7,8,8,1.285714286,,,,,
,2,1,7,8,8,1.285714286,,,,,
,2,1,7,8,8,1.285714286,,,,,
,2,1,7,8,8,1.333333333,,,,,
,2,1,7,8,8,1.333333333,,,,,
,2,1,7,8,8,1.333333333,,,,,
,2,1,7,8,8,1.333333333,,,,,
,2,1,7,8,8,1.333333333,,,,,
